ID	TokenizedText	datetime	sentiment	pre-processed-tweet	pos_cnt	neg_cnt	retweet_cnt
212	tesla owners are insanely happy with their cars $tsla	2017-01-01T09:30:04.000Z	1	tesla owners happy cars tsla	1	0	14
346	amazon received a patent for space-age technology that would bring deliveries to customers within minutes :	2017-01-01T08:09:05.000Z	1	amazon received patent technology would bring deliveries customers within minutes	0	0	13
533	rt @stocktwits : happy new year everyone ! here 's one quick look at 2016 - s & amp ; p 500 $spy - dow $dia - treasuries $tlt - gold $gld	2017-01-01T17:34:06.000Z	1	rt stocktwits happy new year everyone heres one quick look 2016 sampp 500 spy dow dia treasuries tlt gold gld	1	0	36
571	everyone freaking out in comments but , all else aside , $twtr is real-time pulse of world . all presidents should use it to link to content .	2017-01-01T17:27:30.000Z	1	everyone comments else aside twtr realtime pulse world presidents use link content	0	0	1
761	final 24 hours to save 35-70 % off at on our blowout holiday sale , happy holidays $fb $twtr peeps	2017-01-01T17:00:45.000Z	1	final 24 hours save 3570 blowout holiday sale happy holidays fb twtr peeps	1	0	5
809	$spy $qqq $aapl 2017 : win	2017-01-01T16:52:15.000Z	1	spy qqq aapl 2017 win	1	0	3
1023	rt @andrewnyquist : s & amp ; p 500 weekly chart & amp ; market breadth update . $spy	2017-01-01T19:20:38.000Z	1	rt sampp 500 weekly chart amp market breadth update spy	0	0	28
1117	@jorgecrr @wired watch trump make $twtr too important to ignore in 2017. it could honestly be the best thing he does as president .	2017-01-01T19:02:43.000Z	1	watch trump make twtr important ignore 2017 could honestly best thing president	1	1	0
1118	rt @russellrhoads : 2015 vs. 2016 average closing prices for volatility indexes $vix - pretty interesting distribution with $bp $jy $gs $gdx	2017-01-01T19:02:23.000Z	1	rt russellrhoads 2015 vs 2016 average closing prices volatility indexes vix pretty interesting distribution bp gs gdx	1	2	19
1146	here 's your daily dose of inspiration i want you to see this and get pumped up ! $fb $twtr	2017-01-01T19:00:15.000Z	1	heres daily inspiration want see get pumped up fb twtr	1	0	4
1284	rt @goldmansachs : video : $gs ' chief economist jan hatzius on what will drive 3.5 % global growth in 2017 :	2017-01-01T18:34:23.000Z	1	rt goldmansachs video gs chief economist jan hatzius drive 35 global growth 2017	0	0	55
1378	video : $gs ' chief economist jan hatzius on what will drive 3.5 % global growth in 2017 :	2017-01-01T18:20:03.000Z	1	video gs chief economist jan hatzius drive 35 global growth 2017	0	0	55
1599	@microsoft fared well in 2016 , but how will it do in the new year ? $msft	2017-01-02T09:00:03.000Z	-1	microsoft well 2016 new year msft	0	0	0
2181	. @twitter 's top china executive leaves after 8 months $twtr	2017-01-02T11:11:01.000Z	-1	twitters top china executive leaves 8 months twtr	0	0	18
2342	apple is expected to make a big upgrade with the release of its 10th-anniversary iphone in september 2017 :	2017-01-02T10:08:05.000Z	1	apple expected make big upgrade release 10thanniversary iphone september 2017	0	0	12
2380	5 great media stocks for 2017 : $cbs $amc $nflx $sni $foxa	2017-01-02T09:55:04.000Z	1	5 great media stocks 2017 cbs amc nflx sni foxa	0	0	6
2690	$djia 's 7.8 % gain since election day was best post-election day gain through last trading day of the yr since eisen	2017-01-02T13:04:01.000Z	1	78 gain since election day best postelection day gain last trading day yr since	3	0	62
3401	might be a 'sell ' simply because of its valuation : $amzn	2017-01-02T13:45:05.000Z	-1	might sell simply valuation amzn	0	1	1
